0xbb45418f|“突如其来，没有任何征兆地便‘被夺走了’什么”——%K%P
0x4206148a|「咦，客人？」%K%P
0x8d0ea7c3|「…………」%K%P
0x3b170286|突然眼前出现了只穿着内衣的姐姐，好不容易绷得紧紧的表情一下子走样了。%K%P
0xc645e356|「请问是哪位——」%K%P
0xaf7336a0|「嘎……」%K%P
0x086a8a69|「不是，这个，那个……」%K%P
0x09bb5320|%LC戴眼镜的姐姐
0x38cd46e4|戴在脸上的眼镜，都快要滑落下来了。%K%P
0x1f13c5ac|「嗯—？」%K%P
0x695c0ce9|%LC高个子的姐姐
0x6f29dc2a|「怎么了？」%K%P
0x46fccbaf|又有另一个女人出来了！%K%P
0x4f1c73f8|「忘记了？」%K%P
0x9080d916|「什，什么！！」%K%P
0xdd7f97a9|仿佛救赎的神明一般，手机响了起来。%K%P
0x9194a2c8|来电显示上写着“母亲”。%K%P
0xe0f89af2|「容我离开片刻！！」%K%P
0x9b91510f|「不用了已经，意义已经充分传达到了。」%K%P
0x81bb9f4c|%LC母亲
0x9ace6f9f|『？　不是当然的嘛。\n　因为那里是……』%K%P
0x1f8b0636|『我想差不多是你到了飞鱼荘，安顿下来的时候了。\n　感觉怎么样？』%K%P
0x5fc11cb6|「嗯？」%K%P
0x02dd119a|「这里不是女生宿舍吗！！！！！」%K%P
0x412a7128|「Beauchi……是什么？」%K%P
0xe8b8a559|「是公认的 Cool beauchi」%K%P
0xcde8fb26|「我从今天开始就要做这里的{舍监:··}吧！！？」%K%P
0xa2afe84f|『没关系的哦。\n　已经取得业主和住宿生们的谅解了。』%K%P
0x28f8489a|「但是就在刚才，\n　有人狠狠地发出了惨叫！」%K%P
0x893edfc1|「这位母亲……在以此为乐啊」%K%P
0x673760a8|吱呀……%K%P
0x9c840dc9|玄关的门被打开了一个小缝，刚才那些女生们的脸从中露了出来。%K%P
0x333b40bd|「！？」%K%P
0xd971da02|「……这到底要怎么办才好」%K%P
0xe4a9e2f1|「哦哦，那么你就是新来的舍监了咯」%K%P
0xea77fcb0|「如果没人来接任的话，\n　会更加困扰的……」%K%P
0x6e6fb88c|「盯—……」%K%P
0x12069452|「那个……还是学生。\n　从明天开始就在恵风学院上学」%K%P
0x819b173c|「学年是2年级」%K%P
0xcb7a32ef|「好像是这样。\n　怎么办，由佳。\n　要换吗？」%K%P
0x141a5d86|「如果有这种缘由的话……」%K%P
0x134ac462|最年长的人这么说后，其他人也只好勉强点头了。%K%P
0x0167fb05|「虽然会给大家带来不便，\n　但在这段时间里，请多指教。」%K%P
0x2fb349f8|事情决定下来之后自然地就解散了，大家都回到了各自的房间里。%K%P
0xf4094895|%LC佳奈子
0x046e87ea|「我叫时雨佳奈子\n　有什么事的话就跟我说吧」%K%P
0x8fc80e83|个子很高、年龄最大的是由佳小姐，戴着眼镜的是早苗小姐。\n后来出现的看上去很胆小的女孩是亮子小姐。%K%P
0x65f3a84a|「啊~，还有一个人，\n　不过是所谓的家里蹲……」%K%P
0xd4537e0c|就是说，住宿生一共有5个人吗。%K%P
0x6ce9a694|总之，为报告事情的顺利解决，先给母亲打个电话吧。%K%P
0x0b5b5252|「……就是这样，\n　好像总算是答应下来了。」%K%P
0x5797769e|『……嘛，只要是不会发生问题的程度的话就可以。\n　啊，还有』%K%P
0x47bb579a|「Cool beauchi……呢」%K%P
0x599f5829|『虽然之前好像也说过，\n　有一个，腿脚不方便的女孩子……』%K%P
0x7b7a9bcc|紧接着，响起了尖锐的声音。%K%P
0xd87b53e0|「给我等一下，哈特」%K%P
0x297c60a6|「嘎，嘎————！！！」%K%P
0x98e916aa|有什么白色大个的东西从走廊里飞了出来，在它身后以超高速度追着它的是——%K%P
0x62e1271b|这样回答后，我切断了通话。%K%P
0xd5daa16e|——坐轮椅的少女。%K%P
0xf1b739c1|白色大个的东西——似乎是鸭子——扇着翅膀绕到了我的背后。%K%P
0x41627a02|「抓到你了，哈特！」%K%P
0x550ae08f|「嘎 嘎！！」%K%P
0xb083af42|我仿佛见过这个身影。%K%P
0x44603c10|但是，%K%P
0xd711b073|「……怎么跟白天给人的印象如此不同！？」%K%P
0xa1d6f4e5|但是，外表是一模一样。\n这么漂亮的女孩，不是那么多见的。%K%P
0x5b1d4605|她，终于发现那里有个男人在站着了。%K%P
0xf2b0397b|「啊……」%K%P
0x898944bb|『喂喂碧，在听吗？』%K%P
0x9ea20290|『在说着“有个腿脚不便的女孩子，要多照顾她一下哦”的事情。』%K%P
0xa0e79df0|说到这里，她忽然想起什么似的，连忙把手中的小布片塞到屁股底下藏起来。%K%P
0x7f2b9934|「他是新来的舍监哦，小鸟酱」%K%P
0x380ba866|「那个呢，虽然新来的你可能不知道。\n　别看我这样——」%K%P
0x5a7510c6|%LC小鳥
0x928c1244|仿佛这样说着，毫不留情地指着我。%K%P
0x9835d186|「……我是羽羽音小鸟」%K%P
0x0c21c52a|「你真的是，新来的舍监……？」%K%P
0x981feb69|「是这样的。\n　果然……不喜欢？」%K%P
0x23c1d1ca|女生宿舍的舍监是男性，而且还是几乎同龄的男性，就算被说讨厌也没办法。%K%P
0xce8bbd1f|羽羽音小姐闭上眼睛，好像要集中精神一般安静地深呼吸。%K%P
0x5b14d25e|「羽羽音小姐？」%K%P
0xd1eed5b2|「哦，好像是有这么一回事」%K%P
0x6efb3308|「白天的……哪件事情呢？」%K%P
0xf9c91412|佳奈子小姐做着“知道了知道了”的姿势，消失在了走廊的深处。%K%P
0x6becd011|「噢—」%K%P
0x9e42d30a|因为那是件令人印象深刻的事情，我现在还记得很清楚。%K%P
0x6a35994a|「呜——……」%K%P
0x6261bbbc|虽然不知道本人是怎么想的，但确实是非常美丽的眼泪。%K%P
0x8c0b7709|然后，慌里慌张地通过走廊，逃进了自己的房间。%K%P
0xe8cede57|「给我忘记！\n　现在！！」%K%P
0x23ac9ade|浮起装模做样的微笑，%K%P
0x12528a14|「Beau，beauty！\n　只是稍微说错了点而已」%K%P
0x226c912b|羽羽音小姐把能想到的所有骂人话吐出后，调转了轮椅的方向。%K%P
0x1a203648|途中被丢下的哈特追在她的后面，从被安装在房门下的小门（应该是给鸭子进出用的）进入了屋中。%K%P
0x25a420a9|连带着正稍稍萌芽的，淡淡的恋慕之心。%K%P
0x402e8ae0|想起边撩起头发，边自信满满地咬到舌头的她，差点就忍不住笑出声来。%K%P
0x67dac76f|虽然最开始就乱七八糟的。%K%P
